Gene,Non-unique Gene name,Annotation,FF06741431_G.swidsinskii,FF06741441_G.leopoldii,FF06741443_G.vaginalis_A,FF06741449_G.leopoldii,FF06741453_G.vaginalis,FF06741457_G.vaginalis_A,FF06741457_G.vaginalis_E,FF06741459_G.vaginalis_A,FF06741461_G.vaginalis_A,FF06741463_G.piotii,FF06741464_G.swidsinskii,FF06741735_G.sp947289115,FF06741736_G.vaginalis_C,FF06741741_G.swidsinskii,FF06741742_G.swidsinskii,FF06741746_G.sp947289115,FF06741748_G.swidsinskii,FF06741748_G.vaginalis,FF06741749_G.leopoldii,FF06741751_G.swidsinskii,FF06742652_G.swidsinskii,FS42685545_G.vaginalis,FS42685549_G.piotii,FS42685557_G.vaginalis_A,FS42685567_G.vaginalis,FS42685569_G.piotii,FS42685570_G.piotii,FS42685571_G.swidsinskii,FS42685572_G.swidsinskii,FS42685572_G.vaginalis,FS42685575_G.swidsinskii,FS42685576_G.vaginalis_H,FS42685584_G.leopoldii,FS42685584_G.piotii,FS42686173_G.leopoldii,FS42686174_G.piotii,FS42686174_G.swidsinskii,FS42686177_G.swidsinskii,FS42686179_G.piotii,FS42686179_G.swidsinskii,FS42686180_G.vaginalis,FS42686185_G.piotii,FS42686188_G.vaginalis,FS42686194_G.vaginalis,FS42686197_G.leopoldii,FS42686197_G.vaginalis,FS42686200_G.vaginalis_H,FS42686202_G.vaginalis_C,FS42686203_G.swidsinskii,FS42686210_G.swidsinskii,FS42686210_G.vaginalis,FS42686216_G.vaginalis,FS42687147_G.vaginalis,FS42687148_G.leopoldii,FS42687152_G.vaginalis,FS42687153_G.vaginalis_H,FS42687157_G.vaginalis,FS42687160_G.vaginalis,FS42687164_G.leopoldii,FS42687167_G.piotii,FS42687180_G.swidsinskii
pyk,pyk,Pyruvate kinase,FKILNLMM_00536,GIPBMKFD_00054,,,DCGIHJJB_00057,AIKGDNKA_00340,MAIBJLIG_01267;MAIBJLIG_00141,CEAADGFG_00246,FJPIOAPD_00075,MHMPKAEF_00007,MKDEPHEP_00778,GNEALLOE_00113,,PONOIEHE_00131,,,FLPEIIEP_00665,NBBAMHOG_00868,HINIEJCA_00215,OMIKPLOJ_00463,OPLHJKPH_00615,NBLOMMJF_00187,OLMEONEL_00960,KDJKPMPD_01035,NDDDCALJ_00557,DLEBNMND_00633,GEPBNDCO_00002,DFOKPGIE_01323,BEKPBNEK_00703,EAAKBJBK_00127,FMNIPFCJ_00676,GHGEDPDF_00750,,NKJPJJEP_00898,OBLOJFDA_00642,NLALJHLH_01197,MJDADDMM_00637,,GKLKKKNA_01012,LGNAKCJL_00536,IDKOCMBL_00992,CFGPDMND_00242,DCIIGEBB_00144,CBECPNCO_00367,HGINDJMA_00101,DBLHLLOB_00077,,EPGGAPPC_00041,MGJCNIPK_00692,AKIABIOK_00026,HEOIIJDM_00941,GDFGBGJM_00014,LKPJNLPD_01130,CLLCJGKF_00643,CHHPHLEM_01054,NPJENFAK_00104,ANLJHCED_01057,,OBBOBBAE_00610,ODKBPENJ_01256,AMOGCKBM_00780
purB,purB,Adenylosuccinate lyase,FKILNLMM_00963,GIPBMKFD_00144,BFKFBIFC_00613,,DCGIHJJB_00635,AIKGDNKA_00690,MAIBJLIG_00050,CEAADGFG_00490,,MHMPKAEF_00096,MKDEPHEP_00681,GNEALLOE_00025,JKACDCNN_00111,PONOIEHE_00035,,,FLPEIIEP_01108,NBBAMHOG_00752,HINIEJCA_00119,OMIKPLOJ_00554,OPLHJKPH_00516,NBLOMMJF_00489,OLMEONEL_00337,KDJKPMPD_00670,NDDDCALJ_00164,DLEBNMND_00547,GEPBNDCO_00084,DFOKPGIE_00934;DFOKPGIE_00933,BEKPBNEK_00102,EAAKBJBK_00571,FMNIPFCJ_00766,GHGEDPDF_00138,,NKJPJJEP_00605,OBLOJFDA_00454,NLALJHLH_00067,MJDADDMM_00356,,GKLKKKNA_00018,LGNAKCJL_00433,IDKOCMBL_00350,CFGPDMND_00327,DCIIGEBB_00614,CBECPNCO_00024,HGINDJMA_00025,DBLHLLOB_00692,,EPGGAPPC_00134,MGJCNIPK_01426,AKIABIOK_00169,HEOIIJDM_00428,GDFGBGJM_01217,LKPJNLPD_00428,CLLCJGKF_00555,CHHPHLEM_00238,,ANLJHCED_00683,,OBBOBBAE_00523,ODKBPENJ_00696,AMOGCKBM_00870
group_2439,,hypothetical protein;PhoH-like protein,FKILNLMM_00409,GIPBMKFD_01183,,AFFLGDGC_00004,DCGIHJJB_00074,AIKGDNKA_00414,,CEAADGFG_00532,,MHMPKAEF_00024,MKDEPHEP_00098,GNEALLOE_01016,,PONOIEHE_00761,FIBOILMM_00845,APCAEHFD_00108,FLPEIIEP_00547,NBBAMHOG_00886,HINIEJCA_01108,OMIKPLOJ_00575,OPLHJKPH_00286,NBLOMMJF_00204,OLMEONEL_00871,KDJKPMPD_00123,NDDDCALJ_00574,DLEBNMND_00616,GEPBNDCO_00020,DFOKPGIE_00497,BEKPBNEK_00285,EAAKBJBK_00110,FMNIPFCJ_00111,GHGEDPDF_00923,OJJBDPGP_00616,NKJPJJEP_00881,OBLOJFDA_00766,NLALJHLH_01214,MJDADDMM_00898,,GKLKKKNA_00786,LGNAKCJL_00273,,CFGPDMND_00259,DCIIGEBB_00126,CBECPNCO_00350,HGINDJMA_00586,DBLHLLOB_00094,,,MGJCNIPK_00243,AKIABIOK_00715,HEOIIJDM_00920,GDFGBGJM_00031,LKPJNLPD_00788,CLLCJGKF_01165,CHHPHLEM_00867,NPJENFAK_00384,ANLJHCED_01233,,OBBOBBAE_00641,ODKBPENJ_01239,AMOGCKBM_00108
group_2432,,hypothetical protein,FKILNLMM_00532,GIPBMKFD_00059,,,DCGIHJJB_00367,AIKGDNKA_00926,MAIBJLIG_00135,CEAADGFG_00794,FJPIOAPD_00089,MHMPKAEF_01139,MKDEPHEP_00774,GNEALLOE_00108,JKACDCNN_00964,PONOIEHE_00127,,,FLPEIIEP_00661,NBBAMHOG_00128,HINIEJCA_00209,OMIKPLOJ_00467,OPLHJKPH_00611,NBLOMMJF_00714,OLMEONEL_00629,KDJKPMPD_00279,NDDDCALJ_00078,DLEBNMND_01192,GEPBNDCO_00941,DFOKPGIE_00895,BEKPBNEK_00707,EAAKBJBK_00648,FMNIPFCJ_00680,GHGEDPDF_00407,,NKJPJJEP_00373,OBLOJFDA_00637,NLALJHLH_01043,MJDADDMM_00633,,GKLKKKNA_00762,LGNAKCJL_00532,IDKOCMBL_00605,CFGPDMND_00005,DCIIGEBB_00243,CBECPNCO_00819,HGINDJMA_00096,DBLHLLOB_00384,,EPGGAPPC_00047,MGJCNIPK_01449,AKIABIOK_00022,HEOIIJDM_01261,GDFGBGJM_00582,LKPJNLPD_00265,CLLCJGKF_00638,CHHPHLEM_00061,,,JMCHCOOD_00071,OBBOBBAE_00604,ODKBPENJ_00799,AMOGCKBM_00784
group_2429,,hypothetical protein,FKILNLMM_00411,GIPBMKFD_01181,,AFFLGDGC_00002,DCGIHJJB_00076,,MAIBJLIG_00892,,,MHMPKAEF_00026,MKDEPHEP_00096,GNEALLOE_01014,JKACDCNN_01234,PONOIEHE_00763,FIBOILMM_00847,APCAEHFD_00106,FLPEIIEP_00545,NBBAMHOG_00888,HINIEJCA_01110,OMIKPLOJ_00577,OPLHJKPH_00288,NBLOMMJF_00206,OLMEONEL_00869,,NDDDCALJ_00576,DLEBNMND_00614,GEPBNDCO_00022,DFOKPGIE_00499,BEKPBNEK_00287,EAAKBJBK_00108,FMNIPFCJ_00109,GHGEDPDF_00921,OJJBDPGP_00618,NKJPJJEP_00879,OBLOJFDA_00768,NLALJHLH_01216,MJDADDMM_00900,,GKLKKKNA_00788,LGNAKCJL_00275,IDKOCMBL_00779,CFGPDMND_00261,DCIIGEBB_00124,CBECPNCO_00348,HGINDJMA_00584,DBLHLLOB_00096,,EPGGAPPC_00177,MGJCNIPK_00241,AKIABIOK_00713,HEOIIJDM_00922,GDFGBGJM_00033,LKPJNLPD_00790,CLLCJGKF_01167,CHHPHLEM_00865,NPJENFAK_00386,,,OBBOBBAE_00643,ODKBPENJ_01237,AMOGCKBM_00106
group_2427,,hypothetical protein,FKILNLMM_01030,GIPBMKFD_00091,BFKFBIFC_00693,,DCGIHJJB_00697,,MAIBJLIG_00104,CEAADGFG_00360,,MHMPKAEF_00298,MKDEPHEP_00734,GNEALLOE_00076,JKACDCNN_01004,PONOIEHE_00089,,,FLPEIIEP_00621,NBBAMHOG_01045,HINIEJCA_00177,OMIKPLOJ_00500,OPLHJKPH_00571,NBLOMMJF_00435,OLMEONEL_00755,KDJKPMPD_00047,NDDDCALJ_00227,DLEBNMND_01281,GEPBNDCO_00267,DFOKPGIE_00729,BEKPBNEK_00155,EAAKBJBK_00483,FMNIPFCJ_00713,GHGEDPDF_00675,,NKJPJJEP_00088,OBLOJFDA_00724,NLALJHLH_00262,MJDADDMM_01074,,GKLKKKNA_00739,LGNAKCJL_00489,IDKOCMBL_00573,CFGPDMND_00703,DCIIGEBB_00378,CBECPNCO_00084,HGINDJMA_00076,DBLHLLOB_00338,,EPGGAPPC_00077,MGJCNIPK_00860,AKIABIOK_00860,HEOIIJDM_00318,GDFGBGJM_00531,LKPJNLPD_00603,CLLCJGKF_00606,CHHPHLEM_01233,NPJENFAK_00064,ANLJHCED_00879,,OBBOBBAE_00679,ODKBPENJ_00506,AMOGCKBM_00817
relA,relA,Bifunctional (p)ppGpp synthase/hydrolase RelA,FKILNLMM_00961,GIPBMKFD_00142,BFKFBIFC_00615,,DCGIHJJB_00618,AIKGDNKA_00754,MAIBJLIG_00053,CEAADGFG_00849,,MHMPKAEF_00345,MKDEPHEP_00683,GNEALLOE_00027,JKACDCNN_00114,PONOIEHE_00037,,,FLPEIIEP_01106,NBBAMHOG_00008,HINIEJCA_00121,OMIKPLOJ_00552,OPLHJKPH_00518,NBLOMMJF_00506,OLMEONEL_00807,KDJKPMPD_00103,NDDDCALJ_00148,DLEBNMND_01168,GEPBNDCO_00318,DFOKPGIE_00931,BEKPBNEK_00104,EAAKBJBK_00588,FMNIPFCJ_00764,GHGEDPDF_00135,,NKJPJJEP_00139,OBLOJFDA_00452,NLALJHLH_00304,MJDADDMM_00358,,GKLKKKNA_00769,LGNAKCJL_00436,IDKOCMBL_00646,CFGPDMND_00751,,CBECPNCO_00006,HGINDJMA_00027,DBLHLLOB_00709,,EPGGAPPC_00131,48_refound_2392,AKIABIOK_00171,HEOIIJDM_00873,GDFGBGJM_01187,LKPJNLPD_00533,CLLCJGKF_00557,CHHPHLEM_00640,NPJENFAK_01208,ANLJHCED_00728,,OBBOBBAE_00525,ODKBPENJ_00455,AMOGCKBM_00868
dut,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,FKILNLMM_00960,GIPBMKFD_00141,BFKFBIFC_00616,,DCGIHJJB_00617,AIKGDNKA_00753,MAIBJLIG_00054,CEAADGFG_00850,,MHMPKAEF_00346,MKDEPHEP_00684,GNEALLOE_00028,JKACDCNN_00115,PONOIEHE_00038,,,FLPEIIEP_01105,NBBAMHOG_00009,HINIEJCA_00122,OMIKPLOJ_00551,OPLHJKPH_00519,NBLOMMJF_00507,OLMEONEL_00808,KDJKPMPD_00102,NDDDCALJ_00147,DLEBNMND_01167,GEPBNDCO_00319,DFOKPGIE_00930,BEKPBNEK_00105,EAAKBJBK_00589,FMNIPFCJ_00763,GHGEDPDF_00134,,NKJPJJEP_00140,OBLOJFDA_00451,NLALJHLH_00305,MJDADDMM_00359,,GKLKKKNA_00768,LGNAKCJL_00437,IDKOCMBL_00647,CFGPDMND_00752,,CBECPNCO_00005,HGINDJMA_00028,DBLHLLOB_00710,,EPGGAPPC_00130,MGJCNIPK_00986,AKIABIOK_00172,HEOIIJDM_00742,GDFGBGJM_01188,LKPJNLPD_00534,CLLCJGKF_00558,CHHPHLEM_00641,NPJENFAK_01207,ANLJHCED_00727,,OBBOBBAE_00526,ODKBPENJ_00454,AMOGCKBM_00867
group_2398,,hypothetical protein,FKILNLMM_00959,GIPBMKFD_00140,BFKFBIFC_00617,,DCGIHJJB_00616,AIKGDNKA_00752,MAIBJLIG_00055,CEAADGFG_00851,,MHMPKAEF_00347,MKDEPHEP_00685,GNEALLOE_00029,JKACDCNN_00116,PONOIEHE_00039,,,FLPEIIEP_01104,NBBAMHOG_00010,HINIEJCA_00123,OMIKPLOJ_00550,OPLHJKPH_00520,NBLOMMJF_00508,OLMEONEL_00809,KDJKPMPD_00101,NDDDCALJ_00146,DLEBNMND_01166,GEPBNDCO_00320,DFOKPGIE_00929,BEKPBNEK_00106,EAAKBJBK_00590,FMNIPFCJ_00762,GHGEDPDF_00133,,NKJPJJEP_00141,OBLOJFDA_00450,NLALJHLH_00306,MJDADDMM_00360,,GKLKKKNA_00767,LGNAKCJL_00438,IDKOCMBL_00648,CFGPDMND_00753,,CBECPNCO_00004,HGINDJMA_00029,DBLHLLOB_00711,,EPGGAPPC_00129,MGJCNIPK_00985,AKIABIOK_00173,HEOIIJDM_00741,GDFGBGJM_01189,LKPJNLPD_00535,CLLCJGKF_00559,CHHPHLEM_00642,NPJENFAK_01206,ANLJHCED_00726,,OBBOBBAE_00527,ODKBPENJ_00453,AMOGCKBM_00866
pheS,pheS,Phenylalanine--tRNA ligase alpha subunit,FKILNLMM_01241,GIPBMKFD_00112,,,DCGIHJJB_00398,,MAIBJLIG_00086,CEAADGFG_00328,,MHMPKAEF_00418,MKDEPHEP_00713,GNEALLOE_00055,JKACDCNN_00146,PONOIEHE_00068,,,FLPEIIEP_00600,NBBAMHOG_00043,HINIEJCA_00149,OMIKPLOJ_00521,OPLHJKPH_00548,NBLOMMJF_00745,OLMEONEL_00347,KDJKPMPD_00078,NDDDCALJ_00109,DLEBNMND_00810,GEPBNDCO_00826,DFOKPGIE_00750,BEKPBNEK_00134,EAAKBJBK_00618,FMNIPFCJ_00734,GHGEDPDF_00100,,NKJPJJEP_01119,OBLOJFDA_00486,NLALJHLH_00603,MJDADDMM_00389,,GKLKKKNA_00250,LGNAKCJL_00468,IDKOCMBL_00236,CFGPDMND_01130,DCIIGEBB_00274,CBECPNCO_00849,HGINDJMA_00055,DBLHLLOB_00745,,EPGGAPPC_00099,MGJCNIPK_00840,AKIABIOK_00201,HEOIIJDM_00327,GDFGBGJM_01147,LKPJNLPD_00349,CLLCJGKF_00585,CHHPHLEM_00837,NPJENFAK_00032,ANLJHCED_01010,JMCHCOOD_00150,OBBOBBAE_00819,ODKBPENJ_00338,AMOGCKBM_00838
group_2388,,Universal stress protein/MSMEI_3859,FKILNLMM_00873,,,AFFLGDGC_00571,DCGIHJJB_00354,,MAIBJLIG_00683,,,MHMPKAEF_01127,MKDEPHEP_00641,,JKACDCNN_01013,PONOIEHE_00506,FIBOILMM_00654,,FLPEIIEP_01291,NBBAMHOG_00141,HINIEJCA_00516,OMIKPLOJ_00934,OPLHJKPH_01058,NBLOMMJF_00701,OLMEONEL_00617,,NDDDCALJ_00065,DLEBNMND_01179,GEPBNDCO_00929,DFOKPGIE_00982,BEKPBNEK_00316,EAAKBJBK_00661,FMNIPFCJ_00873,GHGEDPDF_00913,OJJBDPGP_00807,NKJPJJEP_00386,OBLOJFDA_00400,NLALJHLH_01031,MJDADDMM_00120,EDKPEHFM_00902,GKLKKKNA_00750,LGNAKCJL_00755,IDKOCMBL_00592,CFGPDMND_00018,DCIIGEBB_00574,CBECPNCO_00806,HGINDJMA_00271,DBLHLLOB_00397,MMPGJHDA_00832,EPGGAPPC_00361,MGJCNIPK_01063,,HEOIIJDM_00845,GDFGBGJM_00595,LKPJNLPD_00278,CLLCJGKF_00025,CHHPHLEM_00074,NPJENFAK_00975,ANLJHCED_00812,JMCHCOOD_00058,OBBOBBAE_00418,ODKBPENJ_00811,AMOGCKBM_00987
czcD,czcD,Cadmium cobalt and zinc/H(+)-K(+) antiporter;Metal cation efflux system protein CzcD,FKILNLMM_01243,GIPBMKFD_00110,,,DCGIHJJB_00396,AIKGDNKA_00615,MAIBJLIG_00088,CEAADGFG_00330,,MHMPKAEF_00420,MKDEPHEP_00715,GNEALLOE_00057,JKACDCNN_00148,PONOIEHE_00070,,,FLPEIIEP_00602,NBBAMHOG_00045,HINIEJCA_00151,OMIKPLOJ_00519,OPLHJKPH_00550,NBLOMMJF_00743,OLMEONEL_00349,KDJKPMPD_00076,NDDDCALJ_00107,DLEBNMND_00812,GEPBNDCO_00828,DFOKPGIE_00748,BEKPBNEK_00136,EAAKBJBK_00620,FMNIPFCJ_00732,GHGEDPDF_00098,,NKJPJJEP_01117,OBLOJFDA_00484,NLALJHLH_00605,MJDADDMM_00391,,GKLKKKNA_00252,LGNAKCJL_00470,IDKOCMBL_00238,CFGPDMND_01128,DCIIGEBB_00272,CBECPNCO_00847,HGINDJMA_00057,DBLHLLOB_00747,,EPGGAPPC_00097,,AKIABIOK_00203,HEOIIJDM_00329,GDFGBGJM_01149,LKPJNLPD_00347,CLLCJGKF_00587,CHHPHLEM_00839,NPJENFAK_00034,ANLJHCED_01008,JMCHCOOD_00148,OBBOBBAE_00855,ODKBPENJ_00336,AMOGCKBM_00836
group_2347,,hypothetical protein,FKILNLMM_00594,GIPBMKFD_00714,BFKFBIFC_00148,AFFLGDGC_00306,DCGIHJJB_00994,AIKGDNKA_00135,,CEAADGFG_00675,FJPIOAPD_00702,MHMPKAEF_00815,MKDEPHEP_01236,,,PONOIEHE_01379;PONOIEHE_01381,FIBOILMM_00771,APCAEHFD_00377,FLPEIIEP_00964,NBBAMHOG_01143,,OMIKPLOJ_00981,OPLHJKPH_00011,NBLOMMJF_00146,OLMEONEL_00084,KDJKPMPD_00748,NDDDCALJ_00989,DLEBNMND_00673,GEPBNDCO_00763,,BEKPBNEK_00831,,FMNIPFCJ_00986,GHGEDPDF_00599,OJJBDPGP_00725,NKJPJJEP_00969,OBLOJFDA_00125,NLALJHLH_00852,MJDADDMM_00964,EDKPEHFM_00887,GKLKKKNA_00140,LGNAKCJL_01245,IDKOCMBL_00957;IDKOCMBL_01060,CFGPDMND_00185,DCIIGEBB_01011,CBECPNCO_01123,,DBLHLLOB_01122,MMPGJHDA_00522,,MGJCNIPK_00495,AKIABIOK_01238,HEOIIJDM_01056;HEOIIJDM_00973,GDFGBGJM_01033,LKPJNLPD_00162,CLLCJGKF_00365,CHHPHLEM_01030,NPJENFAK_00997,,JMCHCOOD_00834,OBBOBBAE_00474,ODKBPENJ_00969,AMOGCKBM_01163
gppA,gppA,Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase,FKILNLMM_01245,GIPBMKFD_00107,BFKFBIFC_00754,,DCGIHJJB_00711,AIKGDNKA_00851,MAIBJLIG_00091,CEAADGFG_00344,,MHMPKAEF_00284,MKDEPHEP_00717,GNEALLOE_00060,JKACDCNN_00151,PONOIEHE_00072,,,FLPEIIEP_00604,NBBAMHOG_00695,HINIEJCA_00160,OMIKPLOJ_00517,OPLHJKPH_00554,NBLOMMJF_00421,OLMEONEL_01074,KDJKPMPD_00063,NDDDCALJ_00241,DLEBNMND_00371,GEPBNDCO_00253,DFOKPGIE_00746,BEKPBNEK_00138,EAAKBJBK_00497,FMNIPFCJ_00730,GHGEDPDF_00090,,NKJPJJEP_00074,OBLOJFDA_00481,NLALJHLH_00247,MJDADDMM_00395,,GKLKKKNA_00881,LGNAKCJL_00472,IDKOCMBL_00796,CFGPDMND_00689,DCIIGEBB_00392,CBECPNCO_00104,HGINDJMA_00060,DBLHLLOB_00324,,EPGGAPPC_00091,MGJCNIPK_01483,AKIABIOK_01082,HEOIIJDM_00304,GDFGBGJM_00517,LKPJNLPD_00699,CLLCJGKF_00590,CHHPHLEM_00490,NPJENFAK_00053,ANLJHCED_00313,,,ODKBPENJ_00520,AMOGCKBM_00834
pth,pth,Peptidyl-tRNA hydrolase,FKILNLMM_01037,GIPBMKFD_00097,BFKFBIFC_00699,,DCGIHJJB_00703,AIKGDNKA_00702,MAIBJLIG_00099,CEAADGFG_00353,,MHMPKAEF_00292,MKDEPHEP_00727,GNEALLOE_00070,JKACDCNN_00159,PONOIEHE_00082,,,FLPEIIEP_00614,NBBAMHOG_01051,HINIEJCA_00171,OMIKPLOJ_00507,OPLHJKPH_00564,NBLOMMJF_00429,OLMEONEL_00761,KDJKPMPD_00054,NDDDCALJ_00233,DLEBNMND_00363,GEPBNDCO_00261,DFOKPGIE_00736,BEKPBNEK_00148,EAAKBJBK_00489,FMNIPFCJ_00720,GHGEDPDF_00669,,NKJPJJEP_00082,OBLOJFDA_00718,NLALJHLH_00256,MJDADDMM_01081,,GKLKKKNA_00733,LGNAKCJL_00482,IDKOCMBL_00579,CFGPDMND_00697,DCIIGEBB_00384,CBECPNCO_00090,HGINDJMA_00070,DBLHLLOB_00332,,EPGGAPPC_00083,MGJCNIPK_05544,AKIABIOK_00867,HEOIIJDM_00312,GDFGBGJM_00525,LKPJNLPD_00609,CLLCJGKF_00600,CHHPHLEM_00481,NPJENFAK_00058,ANLJHCED_00966,,,ODKBPENJ_00512,AMOGCKBM_00824
group_2129,,hypothetical protein,FKILNLMM_00971,GIPBMKFD_00152,BFKFBIFC_00605,,DCGIHJJB_00643,,MAIBJLIG_00043,CEAADGFG_00482,,MHMPKAEF_00104,MKDEPHEP_00673,GNEALLOE_00017,JKACDCNN_00104,PONOIEHE_00027,,,FLPEIIEP_01116,NBBAMHOG_00744,HINIEJCA_00111,OMIKPLOJ_00562,OPLHJKPH_00508,NBLOMMJF_00481,OLMEONEL_00329,KDJKPMPD_00678,NDDDCALJ_00172,DLEBNMND_00539,GEPBNDCO_00092,DFOKPGIE_00942,BEKPBNEK_00094,EAAKBJBK_00563,FMNIPFCJ_00774,GHGEDPDF_00146,,NKJPJJEP_00597,OBLOJFDA_00462,NLALJHLH_00075,MJDADDMM_00348,,GKLKKKNA_00025,LGNAKCJL_00425,IDKOCMBL_00342,CFGPDMND_00335,DCIIGEBB_00622,CBECPNCO_00031,HGINDJMA_00017,DBLHLLOB_00684,,EPGGAPPC_00142,MGJCNIPK_00879,AKIABIOK_00161,HEOIIJDM_00420,GDFGBGJM_01209,LKPJNLPD_00436,CLLCJGKF_00547,CHHPHLEM_00230,NPJENFAK_01060,ANLJHCED_00691,,OBBOBBAE_00515,ODKBPENJ_00688,AMOGCKBM_00878
hdfR~~~gltC,hdfR;gltC,HTH-type transcriptional regulator HdfR;HTH-type transcriptional regulator GltC,FKILNLMM_00426,GIPBMKFD_00262,,,DCGIHJJB_00672,AIKGDNKA_00779,MAIBJLIG_00907,,,MHMPKAEF_00323,MKDEPHEP_00081,GNEALLOE_00717,JKACDCNN_00008,PONOIEHE_00480,FIBOILMM_00954,APCAEHFD_00091,FLPEIIEP_00531,NBBAMHOG_01285,HINIEJCA_00010,OMIKPLOJ_00591,OPLHJKPH_00303,NBLOMMJF_00460,OLMEONEL_01041,KDJKPMPD_00181,NDDDCALJ_00196,DLEBNMND_01257,GEPBNDCO_00291,DFOKPGIE_00514,BEKPBNEK_00301,EAAKBJBK_01248,FMNIPFCJ_00094,GHGEDPDF_00087,OJJBDPGP_00590,NKJPJJEP_00112,OBLOJFDA_01003,NLALJHLH_00285,MJDADDMM_00914,,GKLKKKNA_00797,LGNAKCJL_00290,IDKOCMBL_01006,CFGPDMND_00727,,CBECPNCO_00060,HGINDJMA_00859,DBLHLLOB_00362,,EPGGAPPC_00190,MGJCNIPK_00226,AKIABIOK_00699,,GDFGBGJM_01440,LKPJNLPD_01091,CLLCJGKF_00812,CHHPHLEM_01289,NPJENFAK_00400,ANLJHCED_01421,,OBBOBBAE_00709,ODKBPENJ_00483,AMOGCKBM_00092
gph_3~~~gph_2~~~gph_1,gph_3;;gph_2;gph_1,Phosphoglycolate phosphatase;hypothetical protein,FKILNLMM_00427,GIPBMKFD_00261,,,DCGIHJJB_00673,AIKGDNKA_00778,MAIBJLIG_00908,,,MHMPKAEF_00322,MKDEPHEP_00080,GNEALLOE_00716,JKACDCNN_00009,PONOIEHE_00479,FIBOILMM_00953,APCAEHFD_00090,FLPEIIEP_00530,NBBAMHOG_01284,HINIEJCA_00011,OMIKPLOJ_00592,OPLHJKPH_00304,NBLOMMJF_00459,OLMEONEL_01042,KDJKPMPD_00180,NDDDCALJ_00197,DLEBNMND_01258,GEPBNDCO_00290,DFOKPGIE_00515,BEKPBNEK_00302,EAAKBJBK_01249,FMNIPFCJ_00093,GHGEDPDF_00086,OJJBDPGP_00589,NKJPJJEP_00111,OBLOJFDA_01002,NLALJHLH_00284,MJDADDMM_00915,,GKLKKKNA_00796,LGNAKCJL_00291,IDKOCMBL_01005,CFGPDMND_00726,DCIIGEBB_01138,CBECPNCO_00061,HGINDJMA_00858,DBLHLLOB_00361,,EPGGAPPC_00191,MGJCNIPK_00225,AKIABIOK_00698,,,LKPJNLPD_01090,CLLCJGKF_00813,CHHPHLEM_01288,NPJENFAK_00401,ANLJHCED_01422,,OBBOBBAE_00708,ODKBPENJ_00484,AMOGCKBM_00091
yhbY,;yhbY,hypothetical protein;RNA-binding protein YhbY,FKILNLMM_00449,GIPBMKFD_00236,,,DCGIHJJB_00182,AIKGDNKA_00399,MAIBJLIG_01226,,,MHMPKAEF_00152,MKDEPHEP_00058,GNEALLOE_00691,JKACDCNN_00034,PONOIEHE_00457,,APCAEHFD_00068,FLPEIIEP_00508,NBBAMHOG_00202,HINIEJCA_00036,OMIKPLOJ_00614,OPLHJKPH_00326,NBLOMMJF_00314,OLMEONEL_00846,KDJKPMPD_00157,NDDDCALJ_00682,DLEBNMND_00491,GEPBNDCO_00140,DFOKPGIE_00537,BEKPBNEK_01031,EAAKBJBK_00833,FMNIPFCJ_00071,GHGEDPDF_00062,,NKJPJJEP_00549,OBLOJFDA_00366,NLALJHLH_00123,MJDADDMM_00505,,GKLKKKNA_00933,LGNAKCJL_00313,IDKOCMBL_00002,CFGPDMND_00383,DCIIGEBB_01148,CBECPNCO_00242,HGINDJMA_00378,DBLHLLOB_00202,,EPGGAPPC_00216,MGJCNIPK_00794,AKIABIOK_00599,HEOIIJDM_01063,GDFGBGJM_00705,LKPJNLPD_00062,CLLCJGKF_00838,CHHPHLEM_00506,NPJENFAK_00532,ANLJHCED_00063,,OBBOBBAE_00739,ODKBPENJ_00640,AMOGCKBM_00069
mfd~~~mfd_1,mfd;;mfd_1,Transcription-repair-coupling factor;hypothetical protein,FKILNLMM_01038,GIPBMKFD_00098,BFKFBIFC_00700,,DCGIHJJB_00704,AIKGDNKA_00701,MAIBJLIG_00098,CEAADGFG_00352,,MHMPKAEF_00291,MKDEPHEP_00726,GNEALLOE_00069,JKACDCNN_00158,PONOIEHE_00081,,,FLPEIIEP_00613,NBBAMHOG_01052,HINIEJCA_00170,OMIKPLOJ_00508,OPLHJKPH_00563,NBLOMMJF_00428,OLMEONEL_01173,KDJKPMPD_00055,NDDDCALJ_00234,DLEBNMND_00364,GEPBNDCO_00260,DFOKPGIE_00737,BEKPBNEK_00147,EAAKBJBK_00490,FMNIPFCJ_00721,GHGEDPDF_00668,,NKJPJJEP_00081,OBLOJFDA_00717,NLALJHLH_00255,MJDADDMM_01082,,GKLKKKNA_00732,LGNAKCJL_00481,IDKOCMBL_00580,CFGPDMND_00696,DCIIGEBB_00385,CBECPNCO_00091,HGINDJMA_00069,DBLHLLOB_00331,,EPGGAPPC_00084,,AKIABIOK_00868,HEOIIJDM_00311,GDFGBGJM_00524,LKPJNLPD_00610,CLLCJGKF_00599,CHHPHLEM_00482,NPJENFAK_00057,ANLJHCED_00967,,OBBOBBAE_00850,ODKBPENJ_00513,AMOGCKBM_00825
